tag	area_code	subtitle_location	drawing	level	project_site
1880	1880	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
1897	1897	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
1911	1911	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
1921	1921	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
1931	1931	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
1941	1941	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
1981	1981	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
1983	1983	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
6111	6111	BATCH TRANSPORT START	DE040732A	0	CINER GLASS BELGIUM
6211	6211	BATCH TRANSPORT START	DE040732A	0	CINER GLASS BELGIUM
7561	7561	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
7562	7562	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
7563	7563	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
7564	7564	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
7565	7565	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
0111-AH1	111	BATCH HOUSE -3.850	DE040718A	-3.85	CINER GLASS BELGIUM
0121-E51	121	BATCH HOUSE +22.760	DE040724A	22.76	CINER GLASS BELGIUM
0131-AH1	131	BATCH HOUSE +5.135	DE040720A	5.135	CINER GLASS BELGIUM
0131-E51	131	BATCH HOUSE +5.135	DE040720A	5.135	CINER GLASS BELGIUM
0131-ES2	131	BATCH HOUSE +17.460	DE040723A	17.46	CINER GLASS BELGIUM
0151A-AH1	0151A	CULLET TOWER -5.000	DE040727A	-5	CINER GLASS BELGIUM
0151A-AH2	0151A	CULLET TOWER -5.000	DE040727A	-5	CINER GLASS BELGIUM
0151A-AH3	0151A	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
0151A-AH5	0151A	CULLET TOWER -3.500	DE040727A	-3.5	CINER GLASS BELGIUM
0151A-LCP1	0151A	CULLET TOWER -5.000	DE040727A	-5	CINER GLASS BELGIUM
0155A-AHL	0155A	CULLET TOWER +32.380	DE040731A	32.38	CINER GLASS BELGIUM
0162-AH2	162	BATCH TRANSPORT END +21.341	DE040733A	21.341	CINER GLASS BELGIUM
0162-AH4	162	BATCH TRANSPORT END +21.341	DE040733A	21.341	CINER GLASS BELGIUM
